Xcoordination,Ycoordination,radius
247,148,93
274,628,47
74,709,47
97,55,47
473,41,41
24,523,24
290,541,41
536,519,47
179,607,23
676,750,23
580,58,23
599,92,15
54,193,23
98,248,23
631,523,23
370,141,23
725,249,23
724,336,23
71,554,23
781,368,19
757,578,23
688,275,22
43,618,23
270,774,23
497,149,23
444,532,23
684,405,23
482,773,23
84,376,23
171,495,23
257,698,23
231,537,18
313,422,23
782,474,18
285,343,23
103,298,23
494,439,23
22,51,22
787,667,13
74,637,13
471,652,23
696,541,23
546,380,23
680,583,21
46,405,23
423,686,23
299,44,20
296,714,19
408,490,23
665,138,23
643,427,23
329,329,23
535,710,23
381,387,23
412,13,13
413,727,19
521,119,15
372,281,23
126,491,22
415,92,23
183,451,22
699,619,19
261,489,18
74,160,15
549,674,15
591,143,23
745,404,23
196,761,11
618,717,11
570,414,11
751,656,11
387,720,7
207,530,7
560,21,11
158,274,11
198,720,11
37,103,11
155,39,11
659,385,9
95,582,11
742,689,11
584,656,11
711,49,11
629,734,9
577,12,8
578,342,11
476,414,7
411,58,11
586,594,11
192,561,11
730,65,11
385,704,9
526,407,10
372,576,11
492,326,11
794,691,6
451,193,11
399,346,11
37,85,7
225,591,11
574,479,8
625,595,11
771,718,11
244,462,11
544,755,11
482,596,11
653,268,11
474,248,11
545,166,11
259,38,11
68,284,11
152,626,10
534,588,11
354,203,11
334,485,11
221,682,11
159,316,11
213,325,11
510,584,11
711,159,11
166,381,11
342,22,11
68,257,8
425,586,11
591,558,11
223,284,11
336,443,8
565,273,11
421,613,11
731,753,11
571,209,11
266,457,11
646,190,11
355,674,11
264,422,11
131,233,11
511,659,11
623,281,11
20,157,11
543,76,11
718,773,11
593,363,11
495,621,11
411,375,9
152,101,9
198,369,11
317,244,11
164,420,11
372,62,11
456,286,11
128,377,11
625,352,11
749,194,11
577,726,11
153,20,8
600,450,11
221,562,8
758,334,11
563,192,7
59,475,11
203,584,10
288,441,8
634,97,11
757,355,8
652,337,11
341,82,11
461,427,11
475,194,11
765,493,7
185,16,11
756,508,10
440,426,10
108,200,11
229,723,11
107,452,11
683,99,11
324,463,11
489,701,11
96,637,9
543,346,11
251,751,6
280,739,10
641,631,11
601,774,11
647,585,11
711,68,8
662,492,11
527,610,11
23,480,11
65,792,8
413,636,11
721,82,8
391,541,11
689,784,11
782,201,11
632,384,11
627,313,11
28,563,11
441,575,8
426,770,11
556,583,11
165,688,11
34,244,11
90,445,7
413,782,6
607,307,9
149,384,6
485,119,9
432,66,7
731,211,11
543,323,11
476,347,11
374,676,8
460,235,8
87,653,7
21,310,11
134,434,11
504,207,11
16,744,11
145,196,11
58,311,11
748,760,7
293,481,11
712,455,11
342,591,11
195,644,11
376,18,11
373,730,10
682,687,11
81,499,11
737,633,11
430,402,11
134,572,11
723,17,11
385,438,11
601,260,11
417,121,6
228,356,11
144,660,11
794,732,6
500,360,11
14,445,11
393,603,11
602,390,11
657,559,11
13,598,11
725,506,11
55,224,8
534,146,11
727,558,11
351,428,11
565,236,11
184,675,11
227,400,11
542,777,11
429,445,11
81,318,6
463,468,11
7,112,7
713,660,11
99,562,6
440,302,11
364,82,10
30,356,11
411,403,8
524,746,10
726,190,10
482,301,11
645,724,9
96,141,11
437,348,11
329,604,7
601,413,11
662,510,7
284,380,11
215,759,8
775,60,11
766,675,9
449,221,9
112,661,11
570,180,6
653,793,7
223,608,6
692,340,9
553,412,6
249,384,11
345,782,11
670,522,7
749,470,11
248,401,6
137,121,11
653,646,8
619,184,11
275,274,11
217,508,11
454,170,11
363,110,8
164,355,11
445,113,11
462,680,6
96,184,9
134,353,11
322,762,11
192,250,11
187,48,11
234,668,8
21,14,11
661,238,11
667,538,6
379,745,6
723,604,9
789,167,11
624,660,11
424,174,11
86,616,11
453,623,11
119,789,11
523,246,11
512,463,7
342,410,8
239,35,9
549,433,11
298,311,11
172,398,7
303,289,11
735,718,11
49,364,9
730,170,10
657,13,11
530,446,11
136,520,8
690,226,11
511,679,9
197,422,10
346,41,8
74,444,9
688,68,11
588,495,10
710,579,9
206,267,11
433,379,11
34,493,6
530,292,11
131,452,7
778,409,10
607,338,11
776,606,10
610,630,11
483,212,8
612,53,9
28,583,9
126,676,9
792,613,7
383,96,9
787,501,9
373,521,11
102,761,11
455,592,11
397,201,11
570,96,11
677,642,11
678,42,11
161,715,11
27,330,9
370,347,11
661,710,11
756,243,8
590,751,11
