Xcoordination,Ycoordination,radius
251,92,93
279,405,47
79,461,47
90,47,47
484,41,41
24,344,24
301,320,41
544,327,47
183,411,23
674,462,23
580,37,23
606,63,15
48,139,23
100,156,23
635,331,23
379,109,23
731,144,23
728,210,23
70,355,23
782,217,19
762,348,23
688,159,22
42,402,23
275,523,23
504,112,23
452,343,23
690,245,23
479,498,23
85,249,23
167,340,23
256,471,23
238,345,18
323,252,23
783,287,18
284,229,23
106,201,23
492,264,23
22,44,22
788,413,13
80,401,13
471,411,23
699,326,23
557,239,23
689,368,21
41,259,23
428,434,23
357,38,20
302,469,19
411,321,23
661,81,23
649,265,23
349,197,23
541,466,23
384,260,23
429,13,13
411,472,19
534,84,15
394,189,23
121,326,22
422,77,23
178,297,22
718,396,19
245,302,18
73,111,15
560,434,15
591,98,23
748,252,23
196,519,11
624,457,11
593,261,11
758,402,11
387,463,7
195,332,7
559,11,11
155,184,11
194,497,11
24,87,11
144,29,11
660,235,9
108,368,11
750,429,11
596,416,11
719,32,11
636,473,9
578,7,8
587,211,11
465,252,7
432,36,11
595,387,11
198,370,11
732,50,11
383,448,9
528,254,10
377,377,11
498,213,11
795,430,6
452,144,11
419,234,11
19,72,7
226,380,11
595,307,8
633,372,11
772,449,11
218,295,11
565,496,11
493,375,11
656,153,11
483,166,11
556,126,11
327,22,11
67,198,11
152,422,10
541,394,11
366,150,11
352,331,11
222,469,11
148,204,11
188,220,11
521,385,11
705,95,11
158,252,11
384,11,11
80,185,8
420,376,11
594,364,11
221,199,11
355,308,8
581,172,11
415,397,11
734,478,11
588,137,11
244,273,11
638,105,11
352,449,11
251,254,11
133,166,11
503,438,11
634,159,11
18,123,11
547,44,11
713,483,11
595,231,11
501,395,11
414,253,9
151,69,9
179,239,11
333,155,11
156,274,11
407,47,11
462,201,11
128,252,11
634,213,11
750,94,11
584,462,11
150,8,8
616,291,11
214,360,8
757,193,11
573,121,7
61,303,11
212,396,10
289,270,8
630,47,11
757,212,8
651,199,11
359,68,11
459,271,11
485,139,11
770,309,7
168,8,11
755,314,10
455,291,10
122,131,11
226,490,11
100,293,11
686,59,11
345,293,11
486,453,11
112,401,9
553,207,11
242,496,6
282,490,10
654,395,11
606,498,11
655,370,11
707,46,8
668,297,11
524,406,11
26,310,11
68,521,8
401,414,11
714,59,8
400,355,11
691,492,11
789,115,11
636,234,11
633,181,11
19,378,11
438,371,8
434,507,11
562,387,11
173,458,11
29,167,11
85,284,7
417,513,6
618,193,9
143,259,6
511,82,9
438,53,7
746,115,11
562,188,11
482,227,11
365,435,8
465,161,8
109,416,7
19,194,11
137,295,11
515,148,11
21,462,11
161,144,11
48,216,11
755,484,7
267,281,11
710,283,11
347,399,11
209,432,11
405,12,11
382,479,10
691,426,11
78,317,11
745,384,11
431,282,11
134,381,11
718,11,11
400,289,11
613,155,11
439,101,6
211,236,11
150,443,11
795,445,6
514,227,11
16,292,11
390,395,11
609,247,11
663,350,11
11,416,11
728,308,11
47,170,8
547,106,11
729,343,11
367,294,11
574,152,11
195,449,11
219,257,11
547,509,11
441,304,11
69,215,6
484,297,11
7,68,7
725,425,11
98,354,6
441,204,11
379,60,10
28,228,11
412,273,8
527,496,10
726,109,10
484,197,11
641,446,9
97,107,11
441,238,11
330,389,7
613,269,11
659,313,7
272,260,11
218,530,8
782,35,11
767,420,9
449,163,9
126,427,11
563,110,6
654,503,7
227,396,6
696,206,9
576,260,6
233,240,11
346,510,11
672,314,7
755,293,11
235,257,6
147,92,11
670,405,8
620,115,11
266,202,11
213,331,11
466,129,11
361,85,8
159,231,11
454,93,11
461,438,6
105,124,9
137,233,11
326,487,11
185,173,11
174,25,11
240,444,8
21,11,11
668,134,11
670,327,6
383,495,6
730,371,9
790,93,11
620,417,11
437,128,11
95,384,11
446,388,11
121,528,11
538,167,11
511,286,7
353,260,8
289,-2427,9
566,274,11
298,199,11
170,265,7
315,186,11
744,458,11
59,232,9
730,89,10
658,11,11
524,274,11
140,354,8
701,128,11
511,456,9
189,267,10
385,29,8
70,286,9
690,39,11
601,326,10
717,358,9
203,185,11
432,260,11
40,318,6
541,188,11
120,298,7
781,251,10
613,219,11
784,372,10
617,395,11
496,153,8
610,27,9
10,396,9
135,456,9
794,385,7
391,74,9
792,313,9
380,349,11
114,508,11
463,375,11
418,138,11
573,70,11
688,400,11
676,22,11
182,479,11
29,209,9
382,226,11
656,433,11
760,134,8
600,477,11
317,503,7
701,23,10
596,12,7
396,153,11
157,22,7
324,6,6
724,271,8
766,380,10
527,11,11
782,73,11
81,219,8
141,120,11
134,273,11
791,155,6
142,503,11
425,110,11
491,470,7
478,90,10
39,189,6
60,5,6
383,44,7
559,167,11
474,182,8
315,168,7
382,140,9
160,165,11
532,59,11
344,369,11
42,502,8
708,458,11
9,234,9
666,182,11
584,502,9
419,176,6
448,472,11
611,310,9
331,281,8
631,68,10
109,273,11
420,211,11
203,478,10
739,71,11
456,180,11
640,138,11
132,81,8
641,417,11
137,408,11
637,496,11
536,424,11
689,75,6
667,210,9
760,75,11
635,122,6
87,518,11
495,178,6
57,510,7
115,238,9
9,139,7
661,48,11
632,20,11
171,498,11
164,41,8
140,142,11
43,79,10
535,124,11
606,125,7
570,136,7
151,308,8
88,128,9
213,412,6
608,176,11
384,512,11
543,143,11
324,218,11
425,193,8
784,467,11
301,497,8
704,186,11
493,86,6
682,209,7
328,455,11
724,177,11
308,8,11
209,275,11
753,54,11
774,155,11
451,121,6
133,11,10
672,113,11
237,530,11
215,313,8
54,285,7
546,410,6
453,453,9
402,222,10
10,268,10
366,502,10
362,534,6
602,437,11
469,465,11
350,158,8
