Xcoordination,Ycoordination,radius
551,219,68
186,376,68
370,415,47
30,461,30
223,646,47
25,52,25
654,478,47
115,750,47
476,608,47
16,671,16
371,176,23
564,728,23
674,314,23
551,463,23
667,190,23
619,148,23
648,692,23
444,105,23
449,473,23
766,341,23
305,579,23
274,302,23
363,302,23
479,329,23
252,704,17
432,739,23
503,475,23
507,50,23
645,13,13
755,422,23
402,221,23
442,684,23
532,532,23
613,597,23
764,78,23
409,657,19
413,39,23
579,60,23
164,188,23
32,162,23
781,739,19
287,159,23
700,341,14
417,167,23
471,377,23
297,70,23
360,648,23
609,352,23
788,306,12
679,78,23
774,673,23
501,510,12
176,529,23
525,650,17
303,746,23
101,541,23
695,591,23
200,199,14
472,249,16
693,416,23
408,591,23
335,58,16
577,535,22
558,663,18
413,784,16
343,94,20
188,91,23
691,143,23
770,629,21
56,637,11
530,382,11
297,194,11
480,686,11
271,788,11
728,760,11
766,458,11
372,132,11
277,765,9
784,198,11
258,47,11
320,240,11
24,21,6
240,485,11
515,78,6
614,51,11
660,401,11
203,123,11
394,502,11
340,702,11
598,794,6
383,350,11
568,306,11
756,489,11
459,75,10
337,139,11
289,629,11
653,357,11
493,107,11
745,238,11
299,104,11
776,794,6
564,126,11
359,715,11
510,355,11
14,94,11
326,380,9
165,13,11
771,7,7
475,20,11
369,532,11
281,389,11
440,501,6
369,231,11
235,17,11
460,781,11
392,527,11
788,139,11
626,531,11
442,228,11
750,530,11
165,583,11
19,549,11
631,298,11
236,116,11
380,274,9
415,476,11
262,459,11
6,239,6
490,729,11
61,708,11
622,75,11
120,625,11
260,122,11
602,27,11
635,39,11
297,536,11
595,693,11
66,144,11
719,197,11
147,154,11
10,514,10
744,210,11
733,74,8
482,158,11
167,281,11
354,145,7
455,443,7
426,67,7
295,215,10
44,361,11
397,731,11
517,715,11
388,677,10
407,540,8
767,768,11
213,41,11
469,273,8
362,23,11
579,397,11
17,383,11
790,786,10
248,420,8
343,211,11
312,356,11
26,595,11
165,302,8
678,255,11
387,620,11
270,252,11
612,265,8
301,712,11
668,765,11
765,147,11
224,230,11
93,275,11
243,459,8
46,601,9
469,172,8
37,784,11
740,637,10
52,566,11
443,771,8
474,38,7
367,343,6
772,44,11
639,341,8
82,434,11
368,264,6
346,594,11
536,437,7
541,336,11
316,121,11
222,583,11
440,56,8
718,176,10
579,568,11
747,728,11
553,36,11
574,693,10
393,252,9
520,130,11
189,162,11
579,351,7
382,746,10
628,110,11
161,612,11
7,763,7
203,742,11
434,551,11
114,193,11
489,85,11
94,683,11
486,126,9
97,647,11
178,676,7
662,225,11
627,752,11
68,524,11
410,560,8
201,564,11
378,473,11
300,253,11
425,510,11
111,31,11
600,777,11
680,20,11
161,75,8
284,504,11
263,737,11
10,317,10
572,638,10
14,299,8
293,791,9
715,741,11
790,282,10
650,592,11
428,131,7
295,774,6
95,422,6
330,289,11
567,332,11
56,264,11
707,652,11
650,81,6
311,549,7
133,277,11
360,358,10
663,246,6
627,185,11
66,471,7
675,38,7
715,485,11
640,423,9
525,14,11
305,636,6
697,382,11
138,107,11
149,296,9
142,453,11
58,329,11
251,554,11
83,299,11
647,642,11
717,361,11
732,487,6
764,376,11
310,679,11
638,575,9
782,550,11
153,268,8
97,155,11
652,157,11
30,535,6
453,403,8
126,255,11
498,410,11
725,264,11
454,192,11
545,19,7
188,49,11
538,772,11
377,783,11
626,224,7
67,665,11
763,274,11
735,145,11
8,792,8
212,727,6
603,79,7
779,231,11
